랭킹,시도,시군구,N_전력가용량,전력_점수,전력가용량_신규,전력가용량_신규,N_지진,N_홍수,N_산사태,N_해안,N_산불,재해_점수,N_취수여유율,N_냉각일수,냉각_점수,N_발전량,N_접근성,신재생_점수,네트워크_점수,종합_점수
40,세종,고운동,0.5,50.0,853812.5,853812.5,0.5517241379310345,0.9379310344827586,0.9517241379310345,0.596551724137931,0.9620689655172414,78.68,0.7551724137931034,0.6241379310344828,70.28,0.16896551724137931,0.8482758620689655,30.48,85.99,57.686
41,전북,임실군,0.6482758620689655,64.83,1579675.0,1579675.0,0.2620689655172414,0.20689655172413793,0.6793103448275862,0.596551724137931,0.4068965517241379,38.87,0.4724137931034483,0.8620689655172413,62.83,0.6551724137931034,0.3724137931034483,59.86,53.5,57.677
42,울산,북구,0.8482758620689655,84.83,3812875.0,3812875.0,0.15862068965517243,0.7379310344827587,0.8137931034482758,0.596551724137931,0.09310344827586207,48.5,0.32068965517241377,0.17586206896551723,26.28,0.5103448275862069,0.9379310344827586,59.59,21.66,57.644
43,충남,부여군,0.6172413793103448,61.72,1472000.0,1472000.0,0.2827586206896552,0.6517241379310345,0.18620689655172415,0.596551724137931,0.21379310344827587,38.88,0.4827586206896552,0.7206896551724138,57.79,0.6689655172413793,0.6,65.52,70.7,57.576
44,세종,금남면,0.5,50.0,853812.5,853812.5,0.496551724137931,0.9379310344827586,0.9517241379310345,0.596551724137931,0.9620689655172414,77.02,0.7551724137931034,0.6241379310344828,70.28,0.16896551724137931,0.9517241379310345,32.55,81.53,57.546
45,경북,칠곡군,0.8068965517241379,80.69,2914675.0,2914675.0,0.20689655172413793,0.7275862068965517,0.3896551724137931,0.596551724137931,0.9137931034482759,51.04,0.4482758620689655,0.46206896551724136,45.38,0.41379310344827586,0.06896551724137931,34.48,54.78,57.161
46,세종,전의면,0.5,50.0,853812.5,853812.5,0.6275862068965518,0.9379310344827586,0.9517241379310345,0.596551724137931,0.9620689655172414,80.95,0.7551724137931034,0.6241379310344828,70.28,0.16896551724137931,0.5379310344827586,24.28,91.08,57.155
47,충북,괴산군,0.7931034482758621,79.31,2831000.0,2831000.0,0.006896551724137931,0.06206896551724138,0.19310344827586207,0.596551724137931,0.7931034482758621,22.36,0.9103448275862069,0.19310344827586207,62.34,0.4068965517241379,0.30344827586206896,38.62,85.35,56.691
48,강원,평창군,0.3448275862068966,34.48,428625.0,428625.0,0.9758620689655172,0.20689655172413793,0.593103448275862,0.596551724137931,0.25517241379310346,56.74,0.5689655172413793,0.993103448275862,73.86,0.8551724137931035,0.14482758620689656,71.31,82.17,56.559
49,울산,남구,0.8275862068965517,82.76,3114375.0,3114375.0,0.47586206896551725,0.696551724137931,0.8551724137931035,0.596551724137931,0.7172413793103448,65.26,0.32068965517241377,0.17586206896551723,26.28,0.25517241379310346,0.993103448275862,40.28,17.83,56.219
50,강원,홍천군,0.5379310344827586,53.79,915000.0,915000.0,0.9517241379310345,0.16551724137931034,0.25862068965517243,0.596551724137931,0.3724137931034483,49.66,0.5172413793103449,0.9724137931034482,69.93,0.496551724137931,0.15172413793103448,42.76,95.54,56.074
