시도,시군구,신재생발전량_GWh,신재생발전량_MWh,PPA가능용량_kW,신재생접근성_유효,시군구자급률
경남,진주시,191.247,191247.0,95809.345,12.82471725849584,0.0686709230830386
경남,사천시,150.288,150288.0,77301.775,50.56480697850051,0.1020004511345408
경북,울릉군,4.963,4963.0,,1.2827410507393422,0.0654390159596437
경남,통영시,54.109,54109.0,5389.555,7.976265248376067,0.0501118778768359
충북,충주시,989.512,989512.0,110811.31,21.49612607610075,0.3401051151489393
경남,하동군,422.445,422445.0,107098.61,28.231402869917147,0.8624370687054184
울산,울주군,397.264,397264.0,51848.21,70.39250832918391,0.8928356923991775
경북,경산시,184.984,184984.0,142196.184,8.74551081541487,0.065383879999763
경북,청도군,52.769,52769.0,42419.145,10.582161445009229,0.1058322835977088
경북,칠곡군,168.539,168539.0,110375.135,6.550865093444818,0.0885852856455107
울산,북구,197.973,197973.0,15580.61,73.74117136940494,0.0791082143262448
경남,양산시,172.015,172015.0,33006.465,29.84911184375674,0.0445323197143785
충북,괴산군,164.762,164762.0,92909.545,9.805825777162614,0.2962419776555194
강원,동해시,411.03,411030.0,10428.04,77.22523656333534,0.2382408750065739
충북,영동군,128.191,128191.0,80340.56,13.464845809431743,0.278437945035132
전남,광양시,218.639,218639.0,93872.0703,24.91242569877688,0.0581104577030749
경북,김천시,360.073,360073.0,209361.9825,7.075146483427514,0.1426829050619722
경남,밀양시,129.563,129563.0,77421.249,19.018544387689296,0.5114204976702612
경남,거제시,48.703,48703.0,10489.72,7.443057107340162,0.0214667069732817
부산,북구,8.399,8399.0,553.45,32.435062717774855,0.0089756850732508
전남,완도군,154.21,154210.0,63946.04,2.4766029660959528,0.1384470157547344
전남,여수시,512.557,512557.0,78283.7,5.588628250484888,0.0341861277990218
경남,김해시,176.244,176244.0,117140.275,17.435119816323947,0.0315663302930923
경북,포항시,243.027,243027.0,,8.840766970113487,0.0232061785609789
대구,달성군,139.451,139451.0,86363.405,11.419915929159291,0.0324165400336415
대구,북구,37.952,37952.0,26852.41,19.170038185401108,0.0160289364808542
경남,창원시,269.347,269347.0,,9.876912825046958,0.0252957036121715
대구,서구,11.364,11364.0,9654.59,21.11531330525152,0.0117349025416292
경북,고령군,66.401,66401.0,53983.08,7.276186336503002,0.0555108030597006
경남,함안군,184.124,184124.0,80472.4,8.694399961103645,0.0627135986959081
경북,구미시,317.991,317991.0,182753.02,6.209772484903102,0.0341751171566195
전북,전주시,453.427,453427.0,,11.21521971509863,0.0996405866884471
대구,동구,35.722,35722.0,13803.43,16.77903628272236,0.0215194804415968
경북,성주군,114.908,114908.0,79256.93,6.7425339840629,0.1081246041194211
경남,창녕군,131.575,131575.0,86544.429,9.095222173722556,0.1216669931740558
제주,서귀포시,1645.485,1645485.0,64114.08,3.17812719664776,0.6737339108869176
제주,제주시,1359.575,1359575.0,50987.55,3.0266543482825057,0.3621458285948487
