시도,시군구,연평균기온_C,평균풍속_ms,연간_15도이하_일수,취수여유량_m3년,취수여유율_%,N_기온,N_풍속,N_냉각일수,N_취수여유율,냉각_종합
충남,태안군,13.817705120296113,3.9272789403985553,184.6428571428571,20748794.0,55.9,0.41038785854946236,0.8247153215479753,0.5229437229437226,0.6434923201293451,0.5675735623601188
충북,괴산군,12.199464954521131,1.4983714925026137,172.66666666666666,621814.0,60.2,0.6766273341395208,0.1646580983291771,0.37777777777777766,0.6782538399353274,0.5663111016044605
충북,단양군,12.434705075445816,1.5472275290773203,198.0,3861845.0,43.5,0.6379246695058469,0.1779347589392435,0.6848484848484848,0.5432497978981407,0.5634404928746316
충남,서천군,13.819257221458049,2.7360640914629006,195.75,20748794.0,55.9,0.4101325005326759,0.5010018897634171,0.6575757575757576,0.6434923201293451,0.562052018703034
충북,제천시,12.56013698630137,1.1436798838095783,195.75,16476870.0,48.3,0.6172880996846741,0.06827041647833557,0.6575757575757576,0.582053354890865,0.5563499650247332
전북,남원시,11.92544704264099,1.190633608815427,203.0,2494857.0,32.5,0.7217098791808582,0.08103012264745564,0.7454545454545455,0.45432497978981407,0.5554368770258377
충남,서산시,13.95125,3.189385474860335,190.5,20748794.0,55.9,0.38841650998694977,0.624192278845642,0.593939393939394,0.6434923201293451,0.555128987720266
전북,부안군,14.743679342240494,3.0508016580514745,186.25,786301.0,71.8,0.2580428009526996,0.5865320339544015,0.5424242424242425,0.7720291026677445,0.5533625332331963
충남,홍성군,13.90712802768166,2.9747039849395343,190.0,20748794.0,55.9,0.39567563692031704,0.5658524403983809,0.5878787878787879,0.6434923201293451,0.5502606207434289
경남,고성군,14.372945205479452,2.2479675052740955,205.28571428571428,8550196.0,55.8,0.3190374939791968,0.3683613160678483,0.773160173160173,0.6426839126919968,0.5442529795093772
세종,전의면,13.203163686382394,1.6114990176669668,187.2,11379851.42857143,55.885714285714286,0.5114947230025486,0.19540057894295332,0.5539393939393938,0.6433768333525811,0.5411270869239712
충남,천안시,13.595342465753426,1.3803867403314918,189.0,9204124.0,59.6,0.44697186986517856,0.13259566302819845,0.5757575757575758,0.6734033953112368,0.5318640005383835
경북,문경시,12.266826923076923,1.83890178892324,200.5,4892048.0,26.4,0.6655446681902306,0.2571974341000732,0.7151515151515152,0.4050121261115602,0.5304182973420036
충북,진천군,13.273713109128346,1.4757315471499868,190.75,148295.0,52.1,0.49988764408291975,0.1585056780398716,0.5969696969696969,0.612772837510105,0.5303199354268445
세종,연서면,13.55363511659808,1.6114990176669668,187.2,11379851.42857143,55.885714285714286,0.4538337331424708,0.19540057894295332,0.5539393939393938,0.6433768333525811,0.5238287899659478
강원,강릉시,13.88041425525434,2.3765451492817435,194.1875,39246649.0,49.0,0.40007069577035836,0.4033023768090558,0.6386363636363637,0.587712206952304,0.5231636019202074
경북,청송군,12.141111873713108,1.3666867149850113,204.75,1210553.0,22.9,0.6862278211141797,0.12887267197884478,0.7666666666666667,0.37671786580436534,0.5227760931872178
전북,임실군,13.12931506849315,1.5750474716928051,196.75,2010761.0,38.5,0.5236445989701044,0.1854948469486858,0.6696969696969697,0.5028294260307195,0.5107140287375816
세종,금남면,13.848968363136176,1.6114990176669668,187.2,11379851.42857143,55.885714285714286,0.4052443022621933,0.19540057894295332,0.5539393939393938,0.6433768333525811,0.5092519607018646
대전,동구,13.380958904109589,1.094642857142857,185.9,264983593.0,53.8,0.4822431282570685,0.054944571689732956,0.5381818181818182,0.6265157639450283,0.5084100648604689
전남,해남군,15.202292950034222,2.558747878444765,177.75,5714021.0,75.4,0.1825898187440964,0.45281609030127234,0.4393939393939394,0.8011317704122879,0.5083900506970592
경북,영주시,12.587054794520547,0.972110415844561,197.25,5919031.0,33.9,0.6128594720335521,0.021646298827325144,0.6757575757575758,0.4656426839126919,0.50743106020939
